DATE,WGS10YR
2010-08-20,2.61
2010-08-27,2.56
2010-09-03,2.59
2010-09-10,2.71
2010-09-17,2.74
2010-09-24,2.61
2010-10-01,2.52
2010-10-08,2.45
2010-10-15,2.50
2010-10-22,2.54
2010-10-29,2.67
2010-11-05,2.61
2010-11-12,2.68
2010-11-19,2.89
2010-11-26,2.84
2010-12-03,2.93
2010-12-10,3.18
2010-12-17,3.42
2010-12-24,3.37
2010-12-31,3.38
2011-01-07,3.40
2011-01-14,3.36
2011-01-21,3.42
2011-01-28,3.40
2011-02-04,3.54
2011-02-11,3.68
2011-02-18,3.60
2011-02-25,3.46
2011-03-04,3.47
2011-03-11,3.46
2011-03-18,3.29
2011-03-25,3.38
2011-04-01,3.47
2011-04-08,3.54
2011-04-15,3.51
2011-04-22,3.41
2011-04-29,3.36
2011-05-06,3.24
2011-05-13,3.20
2011-05-20,3.15
2011-05-27,3.10
2011-06-03,3.01
2011-06-10,3.00
2011-06-17,2.99
2011-06-24,2.96
2011-07-01,3.11
2011-07-08,3.12
2011-07-15,2.94
2011-07-22,2.97
2011-07-29,2.97
2011-08-05,2.62
2011-08-12,2.27
2011-08-19,2.17
2011-08-26,2.19
2011-09-02,2.17
2011-09-09,1.99
2011-09-16,2.03
2011-09-23,1.87
2011-09-30,1.97
2011-10-07,1.93
2011-10-14,2.22
2011-10-21,2.20
2011-10-28,2.28
2011-11-04,2.07
2011-11-11,2.05
2011-11-18,2.02
2011-11-25,1.94
2011-12-02,2.04
2011-12-09,2.04
2011-12-16,1.94
2011-12-23,1.95
2011-12-30,1.94
2012-01-06,1.99
2012-01-13,1.95
2012-01-20,1.96
2012-01-27,2.01
2012-02-03,1.88
2012-02-10,1.99
2012-02-17,1.97
2012-02-24,2.01
2012-03-02,1.97
2012-03-09,2.00
2012-03-16,2.21
2012-03-23,2.32
2012-03-30,2.22
2012-04-06,2.21
2012-04-13,2.04
2012-04-20,2.00
2012-04-27,1.98
2012-05-04,1.95
2012-05-11,1.88
2012-05-18,1.74
2012-05-25,1.76
2012-06-01,1.61
2012-06-08,1.61
2012-06-15,1.62
2012-06-22,1.64
2012-06-29,1.64
2012-07-06,1.61
2012-07-13,1.52
2012-07-20,1.52
2012-07-27,1.47
2012-08-03,1.54
2012-08-10,1.65
2012-08-17,1.76
2012-08-24,1.74
2012-08-31,1.63
2012-09-07,1.64
2012-09-14,1.76
2012-09-21,1.81
2012-09-28,1.68
2012-10-05,1.67
2012-10-12,1.71
2012-10-19,1.79
2012-10-26,1.81
2012-11-02,1.74
2012-11-09,1.68
2012-11-16,1.59
2012-11-23,1.67
2012-11-30,1.63
2012-12-07,1.62
2012-12-14,1.69
2012-12-21,1.80
2012-12-28,1.76
2013-01-04,1.87
2013-01-11,1.90
2013-01-18,1.87
2013-01-25,1.90
2013-02-01,2.02
2013-02-08,2.00
2013-02-15,2.01
2013-02-22,2.00
2013-03-01,1.88
2013-03-08,1.96
2013-03-15,2.04
2013-03-22,1.94
2013-03-29,1.90
2013-04-05,1.81
2013-04-12,1.79
2013-04-19,1.73
2013-04-26,1.73
2013-05-03,1.70
2013-05-10,1.83
2013-05-17,1.93
2013-05-24,1.99
2013-05-31,2.14
2013-06-07,2.12
2013-06-14,2.20
2013-06-21,2.33
2013-06-28,2.55
2013-07-05,2.56
2013-07-12,2.64
2013-07-19,2.54
2013-07-26,2.57
2013-08-02,2.64
2013-08-09,2.62
2013-08-16,2.73
2013-08-23,2.86
2013-08-30,2.76
2013-09-06,2.92
2013-09-13,2.92
2013-09-20,2.79
2013-09-27,2.66
2013-10-04,2.64
2013-10-11,2.68
2013-10-18,2.66
2013-10-25,2.55
2013-11-01,2.57
2013-11-08,2.68
2013-11-15,2.74
2013-11-22,2.74
2013-11-29,2.74
2013-12-06,2.84
2013-12-13,2.86
2013-12-20,2.89
2013-12-27,2.99
2014-01-03,3.01
2014-01-10,2.96
2014-01-17,2.86
2014-01-24,2.82
2014-01-31,2.73
2014-02-07,2.68
2014-02-14,2.75
2014-02-21,2.73
2014-02-28,2.69
2014-03-07,2.71
2014-03-14,2.72
2014-03-21,2.74
2014-03-28,2.72
2014-04-04,2.77
2014-04-11,2.68
2014-04-18,2.67
2014-04-25,2.71
2014-05-02,2.66
2014-05-09,2.62
2014-05-16,2.57
2014-05-23,2.54
2014-05-30,2.47
2014-06-06,2.59
2014-06-13,2.62
2014-06-20,2.63
2014-06-27,2.57
2014-07-04,2.60
2014-07-11,2.57
2014-07-18,2.53
2014-07-25,2.49
2014-08-01,2.53
2014-08-08,2.47
2014-08-15,2.41
2014-08-22,2.41
2014-08-29,2.37
2014-09-05,2.44
2014-09-12,2.54
2014-09-19,2.61
2014-09-26,2.55
2014-10-03,2.47
2014-10-10,2.36
2014-10-17,2.19
2014-10-24,2.25
2014-10-31,2.32
2014-11-07,2.36
2014-11-14,2.36
2014-11-21,2.33
2014-11-28,2.25
2014-12-05,2.27
2014-12-12,2.19
2014-12-19,2.14
2014-12-26,2.24
2015-01-02,2.18
2015-01-09,2.00
2015-01-16,1.86
2015-01-23,1.85
2015-01-30,1.77
2015-02-06,1.81
2015-02-13,2.00
2015-02-20,2.11
2015-02-27,2.01
2015-03-06,2.13
2015-03-13,2.14
2015-03-20,2.00
2015-03-27,1.94
2015-04-03,1.91
2015-04-10,1.93
2015-04-17,1.90
2015-04-24,1.94
2015-05-01,2.03
2015-05-08,2.19
2015-05-15,2.24
2015-05-22,2.23
2015-05-29,2.13
2015-06-05,2.31
2015-06-12,2.42
2015-06-19,2.32
2015-06-26,2.41
2015-07-03,2.38
2015-07-10,2.31
2015-07-17,2.38
2015-07-24,2.32
2015-07-31,2.25
2015-08-07,2.22
2015-08-14,2.18
2015-08-21,2.12
2015-08-28,2.14
2015-09-04,2.18
2015-09-11,2.21
2015-09-18,2.22
2015-09-25,2.16
2015-10-02,2.05
2015-10-09,2.09
2015-10-16,2.03
2015-10-23,2.06
2015-10-30,2.11
2015-11-06,2.26
2015-11-13,2.32
2015-11-20,2.26
2015-11-27,2.24
2015-12-04,2.23
2015-12-11,2.21
2015-12-18,2.25
2015-12-25,2.24
2016-01-01,2.29
2016-01-08,2.19
2016-01-15,2.10
2016-01-22,2.04
2016-01-29,2.00
2016-02-05,1.89
2016-02-12,1.71
2016-02-19,1.78
2016-02-26,1.75
2016-03-04,1.82
2016-03-11,1.91
2016-03-18,1.93
2016-03-25,1.91
2016-04-01,1.82
2016-04-08,1.74
2016-04-15,1.77
2016-04-22,1.84
2016-04-29,1.88
2016-05-06,1.81
2016-05-13,1.75
2016-05-20,1.82
2016-05-27,1.85
2016-06-03,1.80
2016-06-10,1.70
2016-06-17,1.61
2016-06-24,1.68
2016-07-01,1.47
2016-07-08,1.38
2016-07-15,1.51
2016-07-22,1.58
2016-07-29,1.53
2016-08-05,1.54
2016-08-12,1.54
