DATE,WGS10YR
2016-08-19,1.56
2016-08-26,1.57
2016-09-02,1.58
2016-09-09,1.59
2016-09-16,1.70
2016-09-23,1.66
2016-09-30,1.58
2016-10-07,1.70
2016-10-14,1.78
2016-10-21,1.76
2016-10-28,1.81
2016-11-04,1.82
2016-11-11,1.98
2016-11-18,2.26
2016-11-25,2.34
2016-12-02,2.37
2016-12-09,2.40
2016-12-16,2.54
2016-12-23,2.55
2016-12-30,2.51
2017-01-06,2.43
2017-01-13,2.38
2017-01-20,2.43
2017-01-27,2.48
2017-02-03,2.48
2017-02-10,2.39
2017-02-17,2.46
2017-02-24,2.39
2017-03-03,2.43
2017-03-10,2.55
2017-03-17,2.55
2017-03-24,2.42
2017-03-31,2.40
2017-04-07,2.35
2017-04-14,2.30
2017-04-21,2.23
2017-04-28,2.31
2017-05-05,2.33
2017-05-12,2.39
2017-05-19,2.27
2017-05-26,2.26
2017-06-02,2.20
2017-06-09,2.18
2017-06-16,2.18
2017-06-23,2.16
2017-06-30,2.23
2017-07-07,2.36
2017-07-14,2.35
2017-07-21,2.27
2017-07-28,2.30
2017-08-04,2.27
2017-08-11,2.24
2017-08-18,2.22
2017-08-25,2.19
2017-09-01,2.14
2017-09-08,2.07
2017-09-15,2.18
2017-09-22,2.26
2017-09-29,2.28
2017-10-06,2.34
2017-10-13,2.33
2017-10-20,2.33
2017-10-27,2.42
2017-11-03,2.36
2017-11-10,2.34
2017-11-17,2.37
2017-11-24,2.35
2017-12-01,2.36
2017-12-08,2.36
2017-12-15,2.37
2017-12-22,2.46
2017-12-29,2.43
2018-01-05,2.46
2018-01-12,2.54
2018-01-19,2.59
2018-01-26,2.65
2018-02-02,2.75
2018-02-09,2.82
2018-02-16,2.87
2018-02-23,2.91
2018-03-02,2.86
2018-03-09,2.88
2018-03-16,2.84
2018-03-23,2.86
2018-03-30,2.79
2018-04-06,2.78
2018-04-13,2.80
2018-04-20,2.88
2018-04-27,2.99
2018-05-04,2.96
2018-05-11,2.97
2018-05-18,3.07
2018-05-25,3.01
2018-06-01,2.83
2018-06-08,2.94
2018-06-15,2.95
2018-06-22,2.91
2018-06-29,2.85
2018-07-06,2.84
2018-07-13,2.85
2018-07-20,2.86
2018-07-27,2.96
2018-08-03,2.97
2018-08-10,2.94
2018-08-17,2.87
2018-08-24,2.83
2018-08-31,2.87
2018-09-07,2.91
2018-09-14,2.97
2018-09-21,3.05
2018-09-28,3.07
2018-10-05,3.14
2018-10-12,3.18
2018-10-19,3.18
2018-10-26,3.14
2018-11-02,3.14
2018-11-09,3.21
2018-11-16,3.11
2018-11-23,3.06
2018-11-30,3.05
2018-12-07,2.90
2018-12-14,2.89
2018-12-21,2.81
2018-12-28,2.76
2019-01-04,2.65
2019-01-11,2.72
2019-01-18,2.74
2019-01-25,2.75
2019-02-01,2.70
2019-02-08,2.68
2019-02-15,2.67
2019-02-22,2.66
2019-03-01,2.70
2019-03-08,2.68
2019-03-15,2.62
2019-03-22,2.55
2019-03-29,2.41
2019-04-05,2.50
2019-04-12,2.52
2019-04-19,2.58
2019-04-26,2.55
2019-05-03,2.53
2019-05-10,2.47
2019-05-17,2.40
2019-05-24,2.37
2019-05-31,2.22
2019-06-07,2.10
2019-06-14,2.12
2019-06-21,2.05
2019-06-28,2.02
2019-07-05,2.00
2019-07-12,2.09
2019-07-19,2.07
2019-07-26,2.07
2019-08-02,1.98
2019-08-09,1.73
2019-08-16,1.60
2019-08-23,1.58
2019-08-30,1.50
2019-09-06,1.52
2019-09-13,1.76
2019-09-20,1.80
2019-09-27,1.70
2019-10-04,1.60
2019-10-11,1.62
2019-10-18,1.76
2019-10-25,1.78
2019-11-01,1.78
2019-11-08,1.86
2019-11-15,1.87
2019-11-22,1.77
2019-11-29,1.76
2019-12-06,1.79
2019-12-13,1.84
2019-12-20,1.91
2019-12-27,1.90
2020-01-03,1.88
2020-01-10,1.84
2020-01-17,1.82
2020-01-24,1.75
2020-01-31,1.59
2020-02-07,1.61
2020-02-14,1.59
2020-02-21,1.52
2020-02-28,1.29
2020-03-06,0.96
2020-03-13,0.79
2020-03-20,0.99
2020-03-27,0.81
2020-04-03,0.65
2020-04-10,0.73
2020-04-17,0.68
2020-04-24,0.61
2020-05-01,0.64
2020-05-08,0.67
2020-05-15,0.67
2020-05-22,0.69
2020-05-29,0.68
2020-06-05,0.77
2020-06-12,0.77
2020-06-19,0.72
2020-06-26,0.69
2020-07-03,0.67
2020-07-10,0.66
2020-07-17,0.63
2020-07-24,0.60
2020-07-31,0.58
2020-08-07,0.55
2020-08-14,0.67
